Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
765,1059731.638,732.000000,   732
766,1063852.521,698.000000,   698
767,1067984.075,709.000000,   709
768,1072126.314,706.000000,   706
769,1076279.251,707.000000,   707
770,1080442.900,715.000000,   715
771,1084617.275,718.000000,   718
772,1088802.390,729.000000,   729
773,1092998.259,703.000000,   703
774,1097204.895,711.000000,   711
775,1101422.313,724.000000,   724
776,1105650.525,698.000000,   698
777,1109889.546,715.000000,   715
778,1114139.390,708.000000,   708
779,1118400.070,717.000000,   717
780,1122671.600,718.000000,   718
781,1126953.994,725.000000,   725
782,1131247.266,717.000000,   717
783,1135551.430,720.000000,   720
784,1139866.499,724.000000,   724
785,1144192.487,727.000000,   727
786,1148529.409,716.000000,   716
787,1152877.277,720.000000,   720
788,1157236.106,707.000000,   707
789,1161605.909,710.000000,   710
790,1165986.700,717.000000,   717
791,1170378.493,715.000000,   715
792,1174781.302,720.000000,   720
793,1179195.141,723.000000,   723
794,1183620.023,717.000000,   717
795,1188055.962,734.000000,   734
796,1192502.973,704.000000,   704
797,1196961.068,726.000000,   726
798,1201430.262,721.000000,   721
799,1205910.568,713.000000,   713
800,1210402.000,723.000000,   723
801,1214904.572,715.000000,   715
802,1219418.298,716.000000,   716
803,1223943.192,710.000000,   710
804,1228479.267,706.000000,   706
805,1233026.538,718.000000,   718
806,1237585.017,716.000000,   716
807,1242154.719,702.000000,   702
808,1246735.658,714.000000,   714
809,1251327.847,712.000000,   712
810,1255931.300,704.000000,   704
811,1260546.031,707.000000,   707
812,1265172.054,694.000000,   694
813,1269809.383,706.000000,   706
814,1274458.031,703.000000,   703
815,1279118.013,710.000000,   710
816,1283789.341,712.000000,   712
817,1288472.030,715.000000,   715
818,1293166.094,729.000000,   729
819,1297871.546,718.000000,   718
820,1302588.400,711.000000,   711
821,1307316.670,722.000000,   722
822,1312056.370,714.000000,   714
823,1316807.514,705.000000,   705
824,1321570.115,715.000000,   715
825,1326344.188,712.000000,   712
826,1331129.745,706.000000,   706
827,1335926.801,720.000000,   720
828,1340735.370,706.000000,   706
829,1345555.465,706.000000,   706
830,1350387.100,724.000000,   724
831,1355230.289,707.000000,   707
832,1360085.046,719.000000,   719
833,1364951.385,713.000000,   713
834,1369829.319,710.000000,   710
835,1374718.862,696.000000,   696
836,1379620.029,702.000000,   702
837,1384532.832,707.000000,   707
838,1389457.286,710.000000,   710
839,1394393.404,726.000000,   726
840,1399341.200,721.000000,   721
841,1404300.688,699.000000,   699
842,1409271.882,704.000000,   704
843,1414254.796,702.000000,   702
844,1419249.443,700.000000,   700
845,1424255.837,709.000000,   709
846,1429273.993,694.000000,   694
847,1434303.923,720.000000,   720
848,1439345.642,698.000000,   698
849,1444399.163,721.000000,   721
850,1449464.500,711.000000,   711
851,1454541.667,705.000000,   705
852,1459630.678,709.000000,   709
853,1464731.547,702.000000,   702
854,1469844.287,715.000000,   715
855,1474968.912,708.000000,   708
856,1480105.437,698.000000,   698
857,1485253.874,701.000000,   701
858,1490414.238,705.000000,   705
859,1495586.542,716.000000,   716
860,1500770.800,713.000000,   713
861,1505967.026,708.000000,   708
862,1511175.234,719.000000,   719
863,1516395.438,711.000000,   711
864,1521627.651,707.000000,   707
865,1526871.888,698.000000,   698
866,1532128.161,693.000000,   693
867,1537396.485,719.000000,   719
868,1542676.874,716.000000,   716
869,1547969.341,706.000000,   706
870,1553273.900,703.000000,   703
871,1558590.565,704.000000,   704
872,1563919.350,711.000000,   711
873,1569260.269,700.000000,   700
874,1574613.335,708.000000,   708
875,1579978.563,706.000000,   706
876,1585355.965,709.000000,   709
877,1590745.556,708.000000,   708
878,1596147.350,701.000000,   701
879,1601561.360,715.000000,   715
880,1606987.600,709.000000,   709
881,1612426.084,709.000000,   709
882,1617876.826,715.000000,   715
883,1623339.840,700.000000,   700
884,1628815.139,703.000000,   703
885,1634302.737,699.000000,   699
886,1639802.649,700.000000,   700
887,1645314.887,703.000000,   703
888,1650839.466,716.000000,   716
889,1656376.399,706.000000,   706
890,1661925.700,708.000000,   708
891,1667487.383,698.000000,   698
